"我們","561","153"
"自己","541","171"
"一個","409","174"
"老師","392","65"
"金門","369","83"
"他們","324","106"
"沒有","315","149"
"因為","271","131"
"就是","269","136"
"可以","234","124"
"生活","222","106"
"時間","203","113"
"所以","202","96"
"學生","195","55"
"孩子","193","65"
"大家","189","85"
"也是","173","101"
"母親","163","51"
"這樣","156","89"
"不是","150","95"
"看到","149","93"
"開始","145","100"
"的是","144","88"
"還是","143","98"
"只是","141","86"
"還有","138","86"
"媽媽","137","40"
"人生","136","73"
"工作","136","64"
"什麼","130","77"
"成為","130","85"
"現在","129","85"
"時候","125","71"
"許多","124","80"
"之後","122","71"
"雖然","120","85"
"一樣","119","75"
"同學","118","43"
"最後","118","85"
"後來","116","75"
"父親","115","41"
"如果","114","71"
"無法","112","76"
"喜歡","111","75"
"學校","111","56"
"當年","111","58"
"真是","111","58"
"覺得","111","60"
"這些","111","73"
"如此","110","77"
"為了","110","77"
"已經","109","72"
"當時","109","60"
"這個","109","66"
"不能","107","64"
"真的","107","69"
"先生","106","31"
"發現","104","65"
"鴨霸","104","8"
"只要","103","71"
"知道","103","70"
"總是","103","71"
"一直","102","66"
"才能","101","69"
"故事","101","53"
"不同","100","62"
"台灣","100","53"
"那麼","99","66"
"不會","98","67"
"爸爸","96","20"
"記得","96","58"
"但是","94","59"
"除了","94","71"
"因此","93","62"
"只有","92","70"
"女兒","91","29"
"應該","91","60"
"看著","91","59"
"學習","90","49"
"生命","90","45"
"起來","90","69"
"其實","89","67"
"於是","89","58"
"朋友","89","53"
"一些","88","56"
"甚至","88","53"
"日子","87","55"
"記憶","87","59"
"曾經","85","58"
"有人","85","55"
"活動","85","48"
"世界","84","48"
"可能","84","59"
"社會","84","39"
"一定","83","60"
"或是","83","52"
"或許","83","50"
"這裡","83","50"
"希望","82","56"
"每天","82","56"
"中的","81","57"
"對於","81","42"
"經過","80","60"
"令人","79","54"
"特別","79","54"
"努力","78","50"
"那些","77","52"
"一天","75","56"
"以及","75","52"
"很多","75","53"
"然後","75","48"
"過去","75","58"
"需要","75","54"
"一般","74","58"
"想起","74","52"
"地方","73","50"
"一起","72","53"
"其中","72","54"
"必須","72","47"
"參加","71","32"
"留下","71","54"
"都會","71","53"
"一段","70","46"
"歲月","70","54"
"準備","69","53"
"一點","68","49"
"出來","68","50"
"原來","68","51"
"只能","68","53"
"感受","68","50"
"畢業","68","44"
"西瓜","68","7"
"讀書","68","31"
"進入","68","50"
"重要","68","43"
"如何","67","43"
"家人","67","46"
"閱讀","67","22"
"他說","66","25"
"出現","66","47"
"即使","66","40"
"幸福","66","39"
"充滿","65","49"
"尤其","65","53"
"快樂","65","45"
"有時","65","36"
"每個","65","51"
"選擇","65","44"
"多年","64","52"
"感覺","64","51"
"教育","64","26"
"更是","64","48"
"等待","64","43"
"精神","64","45"
"透過","64","41"
"個人","63","40"
"回到","63","47"
"回家","63","44"
"怎麼","63","47"
"校長","63","20"
"心情","62","41"
"一片","61","45"
"不知","61","49"
"之間","61","51"
"心中","61","47"
"據點","61","5"
"有些","61","43"
"認為","61","45"
"不過","60","45"
"當然","60","43"
"第一","60","39"
"非常","60","36"
"婆婆","59","10"
"彷彿","59","51"
"文學","59","14"
"終於","59","47"
"開心","59","30"
"不斷","58","45"
"所有","58","46"
"楊樹","58","4"
"班長","58","13"
"突然","58","47"
"而且","58","40"
"聽到","58","40"
"一年","57","40"
"問題","57","36"
"國小","57","22"
"如今","57","43"
"然而","57","42"
"認識","57","36"
"身體","57","36"
"離開","57","43"
"一切","56","42"
"可是","56","37"
"手帕","56","2"
"接受","56","40"
"完成","55","48"
"年代","55","38"
"比較","55","42"
"永遠","55","38"
"繼續","55","45"
"羊肉","55","1"
"附近","55","35"
"似乎","54","38"
"心裡","54","42"
"機會","54","36"
"這麼","54","38"
"以前","53","40"
"來的","53","49"
"告訴","53","42"
"回憶","53","47"
"擁有","53","40"
"文字","53","26"
"一下","52","43"
"時光","52","39"
"未來","52","35"
"自然","52","39"
"那個","52","30"
"部隊","52","18"
"不要","51","36"
"彼此","51","38"
"慢慢","51","43"
"歷史","51","37"
"經驗","51","35"
"不管","50","37"
"來到","50","41"
"在家","50","33"
"所謂","50","33"
"服務","50","30"
"美麗","50","41"
"那是","50","38"
"內容","49","28"
"只好","49","34"
"時代","49","36"
"有了","49","40"
"能夠","49","36"
"過程","49","41"
"隨著","49","43"
"也許","48","37"
"今天","48","41"
"以後","48","36"
"其他","48","40"
"家裡","48","33"
"帶來","48","32"
"幾乎","48","44"
"感到","48","39"
"成長","48","39"
"的話","48","39"
"下來","47","39"
"事情","47","32"
"人們","47","26"
"以為","47","39"
"內心","47","36"
"各種","47","37"
"哥哥","47","13"
"大學","47","27"
"實在","47","35"
"屬於","47","41"
"擔任","47","30"
"照顧","47","36"
"看見","47","39"
"粽子","47","7"
"美好","47","33"
"阿嬤","47","15"
"陽光","47","37"
"多少","46","32"
"期間","46","34"
"洋樓","46","8"
"軍人","46","11"
"不少","45","34"
"不敢","45","34"
"作品","45","16"
"分享","45","37"
"回來","45","34"
"小時","45","36"
"接著","45","33"
"是否","45","36"
"期待","45","37"
"由於","45","31"
"經常","45","33"
"習慣","45","29"
"關係","45","33"
"不停","44","28"
"加上","44","38"
"感情","44","28"
"早已","44","33"
"有點","44","32"
"眼前","44","36"
"竟然","44","31"
"這次","44","27"
"健康","43","29"
"前進","43","17"
"創作","43","17"
"得到","43","35"
"晚上","43","33"
"簡單","43","35"
"結果","43","36"
"聲音","43","30"
"認真","43","28"
"距離","43","28"
"辛苦","43","32"
"不到","42","35"
"人家","42","23"
"動作","42","27"
"好幾","42","37"
"文章","42","18"
"此時","42","31"
"環境","42","33"
"第二","42","35"
"等等","42","33"
"跟著","42","32"
"魏斯","42","1"
"不再","41","33"
"則是","41","26"
"卻是","41","34"
"台北","41","19"
"夏天","41","22"
"好像","41","33"
"將軍","41","10"
"直到","41","36"
"長大","41","33"
"之前","40","35"
"兒子","40","24"
"原本","40","35"
"幫忙","40","32"
"想像","40","29"
"方式","40","34"
"每年","40","32"
"每次","40","34"
"比賽","40","15"
"發生","40","37"
"而是","40","37"
"訓練","40","20"
"走過","40","30"
"那時","40","30"
"重新","40","32"
"一家","39","26"
"一生","39","27"
"不僅","39","33"
"之一","39","32"
"二十","39","30"
"同時","39","28"
"存在","39","27"
"小孩","39","28"
"幾個","39","32"
"遇到","39","32"
"音樂","39","17"
"完全","38","26"
"年紀","38","32"
"年輕","38","32"
"文化","38","30"
"東西","38","28"
"燈籠","38","3"
"金沙","38","9"
"餐廳","38","17"
"享受","37","34"
"代表","37","25"
"古厝","37","13"
"家中","37","26"
"找到","37","35"
"教學","37","17"
"民國","37","19"
"熱情","37","27"
"結束","37","29"
"過後","37","30"
"門口","37","19"
"階段","37","19"
"作者","36","13"
"依然","36","31"
"地區","36","18"
"家庭","36","27"
"小學","36","28"
"小說","36","13"
"幾年","36","29"
"思考","36","20"
"想到","36","29"
"有的","36","22"
"父母","36","20"
"狀況","36","22"
"表演","36","19"
"阿飛","36","4"
"一番","35","32"
"不見","35","31"
"人類","35","27"
"值得","35","27"
"像是","35","27"
"兩人","35","24"
"參觀","35","14"
"呈現","35","28"
"國軍","35","20"
"天空","35","30"
"太陽","35","22"
"左右","35","30"
"故鄉","35","19"
"教授","35","15"
"欣賞","35","31"
"決定","35","30"
"社區","35","17"
"經歷","35","28"
"課程","35","16"
"進行","35","27"
"過來","35","26"
"還要","35","29"
"風景","35","26"
"具有","34","23"
"利用","34","24"
"十年","34","29"
"寫作","34","17"
"建築","34","23"
"思念","34","14"
"感謝","34","27"
"打開","34","27"
"整個","34","30"
"校園","34","19"
"漸漸","34","31"
"照片","34","21"
"熟悉","34","26"
"疫情","34","19"
"空間","34","25"
"童年","34","23"
"總會","34","23"
"藝術","34","13"
"負責","34","24"
"賭場","34","5"
"身影","34","31"
"面對","34","26"
