"的","12695","346"
"是","3463","311"
"一","3311","330"
"我","3061","272"
"在","2501","318"
"了","2288","292"
"有","1841","280"
"不","1592","287"
"也","1429","273"
"著","1210","246"
"個","1207","259"
"就","1203","250"
"這","1194","257"
"人","1161","247"
"他","1064","142"
"都","942","241"
"與","935","211"
"上","841","249"
"中","816","240"
"之","757","181"
"說","750","186"
"會","709","207"
"那","692","208"
"而","690","207"
"你","642","132"
"裡","620","202"
"讓","610","211"
"和","604","190"
"要","599","197"
"能","584","196"
"又","541","200"
"年","534","190"
"到","521","195"
"來","516","208"
"後","512","191"
"還","505","194"
"為","498","185"
"她","495","91"
"時","491","190"
"但","488","180"
"很","483","164"
"地","456","174"
"每","452","185"
"好","412","168"
"得","410","175"
"看","406","163"
"大","401","177"
"次","399","149"
"才","390","167"
"家","379","130"
"被","379","146"
"天","377","167"
"對","374","168"
"種","365","148"
"小","360","142"
"只","358","162"
"下","355","173"
"從","346","166"
"兩","344","150"
"過","340","157"
"再","328","169"
"卻","327","157"
"將","326","154"
"最","325","161"
"去","319","137"
"多","316","161"
"以","314","132"
"想","307","144"
"前","306","160"
"把","299","136"
"或","298","131"
"已","272","134"
"更","264","139"
"及","263","91"
"於","259","114"
"們","256","103"
"沒","253","117"
"當","252","129"
"像","245","137"
"吃","245","92"
"所","240","121"
"等","234","113"
"它","233","95"
"用","232","111"
"位","230","107"
"其","230","84"
"心","228","139"
"三","224","103"
"幾","223","123"
"此","221","102"
"做","218","111"
"並","215","106"
"可","212","111"
"各","211","99"
"如","210","118"
"者","209","91"
"事","205","111"
"跟","199","93"
"啊","197","86"
"因","197","96"
"給","191","96"
"則","180","87"
"愛","157","82"
"邊","154","79"
"呢","153","77"
"無","149","78"
"向","146","90"
"曾","142","77"
"間","142","87"
"走","141","83"
"全","140","84"
"內","139","81"
"由","137","75"
"常","136","85"
"見","134","87"
"外","133","89"
"牠","133","15"
"嗎","131","77"
"帶","131","90"
"令","128","75"
"寫","125","53"
"吧","123","79"
"該","121","72"
"歲","118","57"
"片","118","69"
"本","117","56"
"四","113","73"
"書","113","40"
"聽","113","72"
"知","112","83"
"問","110","65"
"老","110","62"
"正","109","81"
"畫","105","23"
"話","105","74"
"仍","103","77"
"回","102","64"
"妳","102","31"
"段","102","60"
"便","101","62"
"且","100","63"
"處","98","68"
"往","97","60"
"太","96","65"
"買","96","50"
"起","96","78"
"至","93","57"
"句","92","61"
"條","92","48"
"找","91","60"
"五","90","63"
"另","90","63"
"坐","90","57"
"您","88","22"
"若","88","57"
"叫","87","55"
"路","87","59"
"某","85","54"
"先","84","56"
"新","84","59"
"未","84","68"
"連","84","51"
"張","82","49"
"敢","82","46"
"誰","82","49"
"請","82","53"
"隻","82","50"
"雨","82","33"
"件","81","56"
"二","80","57"
"半","80","59"
"整","80","62"
"花","80","56"
"手","79","53"
"水","79","46"
"總","79","57"
"口","78","54"
"場","78","51"
"月","78","46"
"身","78","56"
"幫","77","49"
"使","76","43"
"笑","76","51"
"些","75","63"
"亦","75","48"
"出","74","55"
"即","74","42"
"旁","74","54"
"真","74","50"
"美","74","49"
"頭","74","44"
"首","74","43"
"高","73","59"
"打","72","43"
"日","72","50"
"詩","72","23"
"難","72","53"
"台","71","44"
"名","69","29"
"怕","69","47"
"長","69","55"
"較","67","41"
"成","66","53"
"分","65","50"
"同","65","48"
"應","65","42"
"風","65","40"
"久","64","46"
"住","64","43"
"站","64","45"
"讀","64","42"
"何","63","25"
"夢","62","36"
"座","62","42"
"拿","62","41"
"般","62","51"
"靠","62","44"
"越","61","31"
"錢","61","27"
"開","61","53"
"山","60","41"
"皆","60","39"
"眼","60","48"
"門","60","37"
"雖","60","45"
"點","60","49"
"受","59","44"
"快","59","52"
"顆","59","39"
"道","58","37"
"比","57","49"
"滿","57","47"
"玩","57","32"
"塊","56","33"
"別","55","42"
"份","54","28"
"變","54","43"
"非","54","33"
"剛","53","44"
"生","53","31"
"行","53","42"
"喝","52","35"
"竟","52","40"
"遠","52","39"
"陪","52","32"
"僅","51","39"
"自","51","40"
"六","50","32"
"少","50","42"
"班","50","31"
"講","50","32"
"字","49","25"
"篇","49","22"
"聲","49","34"
"似","47","34"
"女","47","23"
"酒","47","21"
"百","46","34"
"車","46","31"
"懂","45","30"
"臉","45","32"
"項","45","25"
"教","44","30"
"早","44","35"
"必","43","30"
"海","43","25"
"經","42","28"
"送","42","29"
"十","41","31"
"放","41","38"
"死","41","30"
"隨","41","32"
"作","40","34"
"學","40","27"
"數","40","34"
"文","40","27"
"樹","40","23"
"近","40","38"
"哪","39","30"
"啦","39","19"
"國","39","21"
"楊","39","11"
"番","39","35"
