Word,termFreq,docFreq
"天女","19","2"
"太監","19","2"
"手持","19","2"
"據","19","3"
"替","19","2"
"江柏煒","19","4"
"浦","19","3"
"牧馬侯祠","19","3"
"王氏","19","3"
"精美","19","2"
"脊墜","19","3"
"花杆","19","2"
"觀音","19","2"
"言","19","3"
"載","19","2"
"這些","19","2"
"遂","19","3"
"遐齡","19","2"
")","18","4"
"主要","18","3"
"傳達","18","2"
"光緒","18","3"
"初版","18","3"
"印度","18","2"
"另","18","3"
"吉慶","18","2"
"同安","18","3"
"呈現","18","3"
"地方","18","3"
"大學","18","3"
"守護神","18","2"
"廟","18","2"
"東坑","18","2"
"梅花","18","2"
"生肖","18","2"
"看","18","2"
"祿","18","2"
"精緻","18","2"
"組合","18","2"
"美","18","2"
"處","18","2"
"蝙蝠","18","2"
"裝飾篇","18","2"
"重要","18","3"
"長壽","18","2"
"門","18","3"
"頭","18","2"
"高昇","18","2"
"2016","17","2"
"世人","17","2"
"主持","17","3"
"信仰","17","4"
"僑鄉","17","3"
"只","17","2"
"展現","17","3"
"整","17","2"
"棟","17","2"
"正殿","17","2"
"生","17","2"
"相","17","2"
"神","17","3"
"禎祥","17","2"
"組砌","17","2"
"藻井","17","2"
"關係","17","3"
"鳥","17","3"
"7月","16","3"
"交趾","16","2"
"傳臚","16","2"
"功能","16","3"
"宅","16","3"
"屋脊","16","2"
"建物","16","2"
"所以","16","2"
"採用","16","2"
"暗八仙","16","1"
"村落","16","4"
"磁磚","16","2"
"菩薩","16","3"
"華麗","16","2"
"計畫","16","3"
"集","16","3"
"龍虎堵","16","2"
"三王圖","15","2"
"中心","15","3"
"九","15","3"
"他","15","2"
"僅","15","2"
"內容","15","2"
"六","15","3"
"出版社","15","1"
"台灣","15","2"
"呂氏","15","3"
"地理","15","3"
"大夫第","15","2"
"大殿","15","2"
"奪錦","15","2"
"好","15","3"
"學校","15","3"
"官澳","15","2"
"師傅","15","2"
"忠孝廉節","15","2"
"意涵","15","2"
"提供","15","3"
"新頭","15","2"
"曾逸仁","15","3"
"期許","15","2"
"李乾朗","15","2"
"松樹","15","2"
"民居","15","3"
"當","15","2"
"百","15","3"
"磚","15","2"
"神女","15","2"
"組","15","3"
"若","15","2"
"英雄","15","2"
"菊","15","2"
"西山","15","3"
"視覺","15","4"
"詩","15","2"
"鄭氏","15","4"
"開","15","4"
"陳清吉","15","3"
"顏立水","15","3"
"黃振良","15","4"
"12月","14","2"
"一般","14","2"
"七","14","2"
"且","14","2"
"中間","14","2"
"人偶","14","2"
"以及","14","2"
"創作","14","3"
"博古架","14","2"
"國定","14","3"
"堵心","14","2"
"外觀","14","2"
"天官","14","3"
"太平","14","2"
"宋代","14","3"
"尊","14","2"
"屋頂","14","2"
"山頭","14","2"
"形象","14","2"
"後世","14","2"
"得以","14","3"
"戲珠","14","2"
"手","14","2"
"才","14","2"
"書卷","14","2"
"材質","14","2"
"楊氏","14","2"
"次","14","2"
"水","14","3"
"為主","14","2"
"瑞獸","14","2"
"發展","14","3"
"磚砌","14","2"
"荷花","14","2"
"藉由","14","2"
"該","14","3"
"部分","14","2"
"鏡面堵","14","2"
"陳氏","14","3"
"陳炳容","14","4"
"雙護","14","2"
"雙龍","14","2"
"面堵","14","2"
"鰲魚","14","1"
"鳳","14","2"
"12","13","4"
"主角","13","1"
"之後","13","3"
"人生","13","2"
"依","13","4"
"八卦","13","2"
"八寶","13","2"
"刷","13","3"
"南洋","13","3"
"古宅","13","2"
"周安邦","13","2"
"囍","13","2"
"回","13","2"
"國立","13","3"
"壁堵","13","2"
"太師","13","2"
"始","13","2"
"家族","13","3"
"山門","13","2"
"年間","13","2"
"彩色","13","4"
"我們","13","3"
"戴","13","2"
"採","13","3"
"撰","13","2"
"新加坡","13","2"
"春","13","2"
"朝","13","2"
"李秀秀","13","2"
"林文鍊","13","3"
"林馬騰","13","4"
"桃","13","2"
"構造","13","2"
"然後","13","2"
"牆堵","13","2"
"琴棋書畫","13","2"
"瓊林村","13","3"
"相當","13","2"
"睿友","13","3"
"磬","13","2"
"細膩","13","2"
"色澤","13","2"
"賞","13","3"
"起","13","2"
"迎","13","3"
"返鄉","13","3"
"陳書毅","13","2"
"題字","13","2"
"首","13","3"
"鹿港","13","2"
"2\t\t","12","1"
"三川殿","12","2"
"不斷","12","3"
"云","12","1"
"人們","12","2"
"位置","12","3"
"佛手柑","12","2"
"僑匯","12","3"
"先","12","3"
"全","12","3"
"兩進式","12","2"
"初","12","3"
"劉淑音","12","2"
"去","12","3"
"含","12","2"
"垂飾","12","2"
"大象","12","2"
"大門","12","2"
"委員","12","4"
"富","12","2"
"寶瓶","12","2"
"已","12","2"
"廟會","12","3"
"張氏","12","3"
"文","12","3"
"明代","12","3"
"期","12","2"
"果盤","12","2"
"概述篇","12","2"
"汶鳳殿","12","2"
"牆","12","2"
"生命","12","3"
"石鼓","12","2"
"磚組砌","12","2"
"祈福","12","3"
"祠堂","12","3"
"祥瑞","12","2"
"秋","12","3"
"蔡獻臣","12","3"
"薛仁貴","12","2"
"螭虎","12","2"
"許多","12","2"
"豐富","12","2"
"賜福","12","2"
"透過","12","3"
"還","12","3"
"閩","12","3"
"陳德幸","12","3"
"陳長慶","12","2"
"雖","12","3"
"魚","12","1"
"黃輝煌","12","2"
"鼎盛","12","3"
"88.06.15","11","1"
"乃至","11","2"
"乾隆","11","3"
"人間","11","2"
"今","11","2"
"例","11","2"
"供奉","11","2"
"便","11","2"
"保生","11","3"
"修復","11","2"
"八仙","11","1"
"公園","11","3"
"共","11","3"
"冬","11","3"
"原","11","3"
"古代","11","2"
"合院","11","2"
"呂允","11","2"
"嘉慶","11","3"
"塑像","11","2"
"壁畫","11","3"
"天","11","3"
"天下","11","2"
"奎閣","11","4"
"孝","11","2"
"孟加里","11","2"
"官澳村","11","4"
"小百科","11","4"
"屋主","11","2"
"層","11","1"
"座","11","3"
"忠","11","2"
"慶典","11","3"
"應","11","3"
"成就","11","3"
"把","11","2"
"拜","11","4"
"插角","11","1"
"搭配","11","2"
"擂金","11","2"
"攝影","11","4"
"故居","11","3"
"文獻","11","4"
"新倉","11","2"
"施作","11","2"
"日","11","2"
"日本","11","2"
"朱子祠","11","3"
"李沃牆","11","3"
"東溪","11","4"
"歡樂","11","2"
"水頭村","11","3"
"求","11","3"
"洪春柳","11","3"
"烈嶼鄉","11","3"
"瓊林宗祠","11","3"
"畫面","11","2"
"百忍堂","11","2"
"石窗","11","2"
"神龕","11","2"
"立面","11","2"
"索引","11","3"
"組成","11","2"
"結構","11","1"
"而言","11","2"
"致富","11","2"
"興建","11","2"
"花磚","11","2"
"茶花","11","2"
"華僑","11","2"
"蕭史","11","2"
"象","11","2"
"近代","11","3"
"進士","11","2"
"道光","11","3"
"郭哲銘","11","3"
"雕工","11","2"
"靈芝","11","2"
"頗","11","2"
"鰲魚雀","11","2"
"鴉片","11","1"
"-5","10","1"
"10月","10","3"
"19","10","3"
"—","10","3"
"上下","10","2"
"主奉","10","3"
"主編","10","2"
"乘","10","2"
"事業","10","3"
"二甲","10","2"
"代","10","2"
"供","10","2"
"們","10","3"
"做","10","4"
"出自","10","2"
"利用","10","2"
"加上","10","2"
"動物","10","3"
"十一世","10","2"
"即可","10","2"
"受","10","2"
"同聲","10","2"
"后民俗村","10","2"
"咬","10","2"
"品","10","2"
"喜鵲","10","2"
"器物","10","2"
"地位","10","2"
"天花","10","1"
"她","10","2"
"子午窗","10","2"
"學者","10","2"
"學術","10","3"
"寶塔","10","3"
"少師","10","2"
"居","10","2"
"工藝","10","2"
"庵","10","4"
"廉","10","2"
"影響","10","2"
"很","10","2"
"意義","10","2"
"應用","10","2"
"懸掛","10","2"
"整體","10","3"
"族譜","10","3"
"既","10","3"
"期盼","10","2"
"末","10","3"
"李仕德","10","4"
"松","10","2"
"格局","10","3"
"構成","10","2"
"欲","10","3"
"歲","10","3"
"歷代","10","2"
"沿革","10","1"
"泉州","10","2"
"活動","10","4"
"海","10","3"
"海珠堂","10","2"
"為了","10","2"
"牆壁","10","2"
"牌頭","10","2"
"牡丹花","10","2"
"物件","10","2"
"王建成","10","3"
"由於","10","2"
"眾","10","3"
"節","10","3"
"美食","10","3"
"老","10","2"
"花罩","10","2"
"蔡鳳雛","10","3"
"藥叉","10","2"
"藩伯宗祠","10","2"
"蘆葦","10","2"
"螃蟹","10","2"
"設計","10","4"
"說法","10","3"
"讀","10","2"
"身","10","2"
"逐祿","10","2"
"進","10","3"
"過","10","2"
"鄉土","10","2"
"錢","10","2"
"長","10","2"
"門楣","10","2"
"陳木漳","10","3"
"雕","10","2"
"青嶼","10","2"
"頂堵","10","2"
"頂板","10","1"
"風華","10","3"
"香火","10","2"
"鼎爐","10","2"
"龍門","10","1"
"-3","9","3"
"11月","9","2"
"18","9","4"
"2015","9","3"
"5月","9","1"
"61號","9","2"
"63","9","3"
":","9","4"
"一樣","9","2"
"三多","9","2"
"五福","9","2"
"以來","9","3"
"件","9","2"
"保存","9","3"
"入","9","2"
"八吉祥","9","2"
"共同","9","3"
"十一","9","2"
"印刷","9","3"
"同樣","9","2"
"后頭","9","2"
"命","9","2"
"唐","9","3"
"四君子","9","2"
"四逸","9","2"
"團隊","9","2"
"墓園","9","2"
"壽石","9","2"
"多壽","9","2"
"大厝","9","2"
"嬰兒","9","1"
"宗","9","2"
"官","9","3"
"寶劍","9","2"
"將軍廟","9","2"
"對望","9","2"
"嶺東","9","2"
"巧思","9","2"
"序","9","3"
"成果","9","3"
"我國","9","1"
"散花","9","2"
"文人","9","2"
"斗座","9","1"
"新","9","2"
"書院","9","4"
"未","9","2"
"李氏","9","4"
"村廟","9","2"
"東","9","2"
"案例","9","2"
"條","9","2"
"楊易淳","9","4"
"楊秉訓","9","3"
"歡迎","9","2"
"正","9","4"
"汾陽","9","2"
"特殊","9","3"
"王先正","9","4"
"王天源","9","4"
"現","9","2"
"琴","9","2"
"瓜果","9","2"
"甚","9","2"
"生態","9","2"
"略","9","2"
"相同","9","2"
"神情","9","2"
"福建","9","3"
"福祿壽","9","2"
"端","9","2"
"節慶","9","3"
"簪纓","9","2"
"粵","9","3"
"精神","9","2"
"約","9","3"
"總兵署","9","3"
"老鷹","9","2"
"舉家","9","2"
"花帔","9","1"
"蘋藻","9","2"
"蘭花","9","2"
"虎堵","9","2"
"蟠龍","9","2"
"表徵","9","3"
"設計系","9","2"
"詩經","9","2"
"追求","9","2"
"送子","9","2"
"通樑","9","2"
"遭","9","2"
"金門山","9","2"
"金鼠","9","2"
"除","9","2"
"雞","9","2"
"魁星爺","9","3"
"麟護宮","9","2"
"龍山寺","9","2"
"(","8","4"
"1/15日","8","1"
"10.29","8","1"
"3\t\t","8","1"
"66號","8","3"
"73號","8","2"
"9月","8","2"
"三國演義","8","2"
"不可","8","3"
"世第","8","3"
"中央","8","3"
"主體","8","2"
"之中","8","2"
"代表性","8","2"
"位處","8","3"
"余光弘","8","1"
"依序","8","2"
"傳承","8","2"
"價值","8","2"
"元","8","4"
"典故","8","2"
"加官","8","2"
"北山","8","3"
"十六","8","3"
"半","8","2"
"博士","8","2"
"口","8","3"
"古人","8","2"
"同春","8","2"
"吳心泉","8","3"
"呂坤和","8","4"
"四暢","8","2"
"因為","8","2"
"因而","8","2"
"國際","8","3"
"圖鑑","8","2"
"城隍廟","8","3"
"堵仁","8","2"
"多福","8","2"
"大厝房","8","2"
"大帝","8","2"
"大雄","8","2"
"夫婦","8","3"
"奎星","8","2"
"孚濟廟","8","4"
"宋","8","3"
"家","8","2"
"寓有","8","2"
"寶殿","8","2"
"專家","8","2"
"屏仔堵","8","2"
"山","8","3"
"山頭牆","8","2"
"幢","8","2"
"幸福","8","2"
"張雲盛","8","3"
"形制","8","2"
"形狀","8","2"
"征","8","2"
"從事","8","3"
"愛蓮","8","2"
"戟","8","2"
"戰地","8","2"
"戶","8","3"
"持","8","1"
"撰稿","8","2"
"政府","8","2"
"故宅","8","3"
"教化","8","3"
"文字","8","2"
"文臣","8","1"
"族裔","8","1"
"時代","8","2"
"有限公司","8","3"
"期間","8","3"
"朱熹","8","4"
"材料","8","2"
"東南","8","3"
"東林","8","3"
"東沙","8","3"
"林李府","8","2"
"植物","8","2"
"楊華","8","3"
"櫸頭","8","2"
"永家齊","8","2"
"法器","8","1"
"浯島","8","3"
"海外","8","3"
"清代","8","3"
"源自","8","2"
"燒製","8","2"
"父子","8","2"
"牽網","8","1"
"獅子","8","2"
"王府","8","2"
"瓜瓞","8","2"
"甘露寺","8","2"
"甚至","8","2"
"眾多","8","3"
"研討會","8","3"
"神明","8","2"
"神韻","8","2"
"祭典","8","4"
"科舉","8","3"
"符號","8","3"
"終","8","3"
"翼廊","8","2"
"而且","8","2"
"自己","8","2"
"舉凡","8","2"
"花草","8","2"
"花透雕","8","2"
"華人","8","2"
"葉鈞培","8","2"
"蔡守愚","8","2"
"蔡是民","8","4"
"藝文","8","2"
"蝴蝶","8","3"
"螭龍","8","2"
"表達","8","2"
"西方","8","2"
"見稱","8","3"
"許丕簡","8","2"
"許志仁","8","3"
"訴求","8","2"
"詞條","8","2"
"諸","8","3"
"讀者","8","2"
"道","8","2"
"門戶","8","3"
"除了","8","2"
"陳秀竹","8","3"
"隱喻","8","2"
"雀","8","1"
"顯靈","8","2"
"風","8","2"
"魁星","8","2"
"鯉魚","8","1"
"麟","8","2"
"？","8","3"
"-4","7","1"
"-6","7","3"
"14","7","3"
"2000","7","3"
"21","7","3"
"77.11.11","7","1"
"一路","7","2"
"三星","7","2"
"三絲品蓮","7","2"
"不可多得","7","2"
"之間","7","2"
"五柳","7","1"
"亮麗","7","2"
"人文","7","3"
"佛","7","2"
"依序為","7","2"
"俗諺","7","2"
"保有","7","3"
"保障宮","7","2"
"修護","7","2"
"側次","7","2"
"儀","7","1"
"先生","7","2"
"先賢","7","3"
"兩儀","7","2"
"冊","7","3"
"冬茶花","7","1"
"分","7","2"
"功名","7","2"
"十世","7","2"
"千","7","2"
"南山","7","3"
"印書館","7","1"
"古寧頭","7","2"
"右旋","7","1"
"后沙","7","2"
"吳厝","7","2"
"哼","7","2"
"唯一","7","2"
"喜","7","2"
"嘉靖","7","2"
"國徽","7","2"
"國旗","7","2"
"圍爐","7","2"
"埕牆","7","2"
"壽全","7","2"
"夏","7","1"
"夔龍","7","2"
"外側","7","1"
"大抵","7","2"
"天使","7","2"
"天后宮","7","2"
"夾雙槐","7","2"
"奉祀","7","2"
"奕世","7","2"
"始祖","7","2"
"委員會","7","1"
"媽祖","7","3"
"季節","7","3"
"完成","7","2"
"完整","7","3"
"容易","7","2"
"寶物","7","2"
"對稱","7","2"
"屋坡","7","1"
"屏堵","7","2"
"島","7","3"
"差異","7","1"
"庵前村","7","4"
"康寧","7","1"
"建材","7","2"
"往","7","2"
"御賜","7","3"
"性質","7","3"
"意思","7","2"
"戰爭","7","4"
"扇","7","1"
"技藝","7","2"
"抗","7","3"
"招親","7","2"
"擁有","7","2"
"教育","7","2"
"文運","7","2"
"於是","7","2"
"早期","7","2"
"明顯","7","2"
"時間","7","1"
"普渡","7","2"
"月","7","3"
"月亮","7","2"
"東南亞","7","2"
"林建育","7","4"
"桃形","7","2"
"欄杆","7","2"
"歷經","7","3"
"死","7","2"
"營造","7","2"
"獅馱","7","2"
"獻樂","7","2"
"玉堂","7","2"
"生動","7","2"
"當時","7","2"
"盒子","7","2"
"相傳","7","2"
"知","7","2"
"砌","7","2"
"神話","7","2"
"科大","7","2"
"秦叔寶","7","1"
"窯","7","2"
"第清","7","1"
"紀錄","7","3"
"素材","7","1"
"經","7","2"
"經商","7","2"
"經過","7","2"
"維護","7","3"
"綿綿","7","2"
"緣","7","1"
"縣長","7","2"
"繪製","7","2"
"美感","7","2"
"老街","7","2"
"老鼠","7","2"
"臺","7","2"
"般","7","2"
"莊嚴","7","2"
"落","7","2"
"薦","7","2"
"蘇王爺","7","2"
"行","7","2"
"製作","7","2"
"褒忠祠","7","3"
"要","7","2"
"規帶","7","2"
"觀念","7","2"
"設","7","2"
"許維民","7","3"
"論文集","7","2"
"謂","7","2"
"變遷","7","3"
"象負","7","2"
"豪宅","7","3"
"赴","7","3"
"農業","7","2"
"逐鹿","7","2"
"連科","7","2"
"連綿","7","1"
"遠","7","3"
"郭子儀","7","1"
"配以","7","3"
"錦上添花","7","2"
"錦雞","7","2"
"門廳","7","2"
"閩南語","7","3"
"陳福海","7","4"
"隱逸","7","2"
"雕飾","7","2"
"靈忠廟","7","3"
"面","7","3"
"項","7","3"
"香爐","7","2"
"鵝頭墜","7","2"
"鹿鶴","7","2"
"黃氏","7","3"
