"的","1866","4"
"為","505","3"
"與","488","4"
"是","420","3"
"之","418","4"
"有","374","3"
"以","353","3"
"在","291","3"
"一","254","4"
"中","212","3"
"兩","194","3"
"等","190","3"
"上","183","3"
"邊","180","4"
"於","162","4"
"則","152","3"
"而","148","3"
"四","146","3"
"者","133","4"
"也","127","3"
"其","123","3"
"或","123","4"
"著","118","2"
"前","109","3"
"後","99","4"
"龍","99","2"
"不","94","3"
"和","94","3"
"對","92","3"
"及","91","4"
"種","91","3"
"字","90","2"
"此","85","3"
"三","82","4"
"各","82","4"
"就","80","3"
"虎","80","2"
"人","73","3"
"個","73","3"
"稱","73","3"
"多","71","3"
"能","70","3"
"間","70","3"
"圖","69","3"
"最","69","3"
"大","65","3"
"即","63","3"
"二","61","3"
"如","60","3"
"將","60","3"
"更","59","3"
"可","58","3"
"所","57","3"
"這","57","2"
"側","56","2"
"又","56","3"
"清","55","3"
"皆","54","3"
"來","52","3"
"小","52","3"
"時","51","4"
"並","50","3"
"亦","50","3"
"作","50","3"
"自","50","3"
"下","49","3"
"了","49","3"
"號","49","2"
"季","48","2"
"左","48","2"
"畫","48","3"
"意","46","2"
"故","46","2"
"由","46","2"
"都","46","2"
"五","44","4"
"常","43","2"
"幅","43","2"
"右","42","2"
"因","42","3"
"具","40","3"
"曰","40","2"
"地","39","3"
"同","37","3"
"書","37","3"
"再","36","2"
"花","36","3"
"音","36","2"
"外","34","3"
"屬","34","3"
"年","34","3"
"本","33","3"
"世","32","2"
"內","32","3"
"建","32","3"
"明","32","3"
"每","32","3"
"至","32","3"
"見","32","3"
"無","31","2"
"隻","31","2"
"使","30","3"
"向","30","2"
"它","30","3"
"被","30","2"
"古","29","3"
"八","28","2"
"從","28","3"
"成","28","2"
"指","28","2"
"乃","27","2"
"子","27","2"
"用","27","3"
"說","27","2"
"鶴","27","2"
"仍","26","2"
"曾","26","3"
"卻","25","3"
"名","25","2"
"高","25","3"
"房","24","2"
"但","23","3"
"係","23","2"
"愛","23","2"
"王","23","2"
"福","23","2"
"竹","23","2"
"較","23","2"
"到","22","2"
"得","22","3"
"位","21","3"
"卍","21","1"
"木","21","2"
"萬","21","2"
"令","20","2"
"似","20","2"
"取","20","2"
"均","20","2"
