﻿Word,termFreq,docFreq
"105","4","1"
"107","4","1"
"108","4","1"
"110","4","1"
"111","4","1"
"112","4","1"
"114","4","1"
"115","4","1"
"117","4","1"
"119","4","1"
"120","4","1"
"122","4","1"
"123","4","1"
"124","4","1"
"125","4","1"
"126","4","1"
"128","4","1"
"129","4","1"
"130","4","1"
"131","4","1"
"132","4","1"
"133","4","1"
"134","4","1"
"135","4","1"
"136","4","1"
"137","4","1"
"138","4","1"
"140","4","1"
"141","4","1"
"142","4","1"
"144","4","1"
"145","4","1"
"146","4","1"
"147","4","1"
"148","4","1"
"151","4","1"
"152","4","1"
"153","4","1"
"154","4","1"
"157","4","1"
"158","4","1"
"160","4","1"
"161","4","1"
"162","4","1"
"163","4","1"
"164","4","1"
"165","4","1"
"166","4","1"
"167","4","1"
"178","4","2"
"1945年","4","1"
"1952年","4","1"
"197","4","2"
"1972年版","4","1"
"1973年","4","1"
"1976年版","4","1"
"1979","4","1"
"1980年","4","1"
"1984年版","4","1"
"1985年","4","2"
"1986年","4","2"
"1990.11.27","4","1"
"1993年版","4","1"
"1E","4","1"
"1．","4","2"
"202","4","2"
"2月","4","1"
"4.1","4","1"
"90年代","4","1"
"92","4","1"
"93","4","1"
"95","4","1"
"99","4","1"
"II","4","1"
"Journal","4","1"
"P","4","1"
"The","4","2"
"ii","4","1"
"on","4","2"
"°C","4","1"
"·像","4","2"
"·清","4","2"
"·隆","4","1"
"”","4","1"
"ㄚ","4","2"
"ㄥㄚ","4","1"
"一九七0年","4","1"
"一九七O年","4","1"
"一九五O","4","2"
"一九八0年","4","1"
"一九六0年代","4","1"
"公司·","4","1"
"志·","4","2"
"金門·","4","1"
"陳，爲","4","1"
"（5）","4","1"
"（五）","4","3"
"，且","4","3"
"，任","4","1"
"，勤","4","1"
"，後","4","3"
"＾","4","1"
"(10)","3","2"
"(9)","3","2"
"(七)","3","2"
"(六)","3","2"
"----","3","2"
"1,","3","1"
"1-","3","1"
"1.4","3","2"
"102","3","1"
"109","3","1"
"11.28","3","1"
"168","3","1"
"169","3","1"
"170","3","1"
"171","3","1"
"172","3","1"
"173","3","1"
"174","3","1"
"175","3","1"
"176","3","1"
"177","3","1"
"179","3","1"
"180","3","1"
"181","3","1"
"182","3","1"
"183","3","1"
"184","3","1"
"185","3","1"
"186","3","1"
"187","3","1"
"188","3","1"
"189","3","1"
"190","3","1"
"191","3","1"
"1911年","3","1"
"1921年","3","1"
"193","3","1"
"194","3","1"
"1948年","3","1"
"195","3","1"
"1957年版","3","1"
"196","3","1"
"1961年","3","1"
"1963年","3","1"
"1965年","3","1"
"1967年版","3","1"
"1968年版","3","2"
"1971年","3","1"
"198","3","1"
"1980年版","3","1"
"1981年版","3","1"
"1987","3","1"
"1988年","3","1"
"199","3","1"
"1995.2.12","3","1"
"1996.","3","1"
"1日","3","1"
"2.4","3","1"
"2.6","3","2"
"200","3","1"
"201","3","1"
"203","3","1"
"205","3","1"
"206","3","1"
"207","3","1"
"208","3","1"
"209","3","1"
"211","3","1"
"212","3","1"
"213","3","1"
"214","3","1"
"215","3","1"
"253","3","3"
"2年","3","1"
"3.3","3","1"
"33年","3","1"
"4.","3","3"
"4.3","3","1"
"5.3","3","1"
"5.4","3","1"
"507","3","1"
"50萬","3","1"
"6.2","3","1"
"6.3","3","1"
"7.1","3","1"
"7.2","3","1"
"85年","3","1"
"@","3","1"
"At","3","1"
"E","3","1"
"Game","3","1"
"K","3","1"
"Mintz","3","1"
"S","3","2"
"T","3","1"
"VS","3","1"
"Wolf","3","1"
"folktale","3","1"
"lt","3","1"
"m","3","1"
"o","3","1"
"the","3","1"
"}","3","1"
"·有","3","1"
"·泉州","3","1"
"□□","3","1"
"ㄥ","3","1"
"一九O六年","3","1"
"一九三0年","3","1"
"一九二0年","3","1"
"一九五O年代","3","1"
"一九八O年","3","1"
"八0三","3","3"
"八○三","3","3"
"六0年代","3","2"
"會·","3","1"
"金1","3","1"
"＊","3","2"
"，亞省","3","1"
"，時","3","2"
"，爾宜","3","1"
"，率","3","3"
"，益","3","3"
"，確","3","2"
"，第","3","3"
"，裔","3","1"
"，計","3","2"
"，餘","3","2"
"－10","3","1"
"－2","3","1"
"－3","3","1"
"－6","3","1"
"－9","3","1"
"：l","3","2"
"：®","3","1"
"(八)","2","2"
"------","2","1"
"/2","2","1"
"/20","2","1"
"/22","2","1"
"/24","2","1"
"/27","2","1"
"/3","2","1"
"/4","2","1"
"/6","2","1"
"/7","2","1"
"/8","2","1"
"1-7","2","2"
"1.","2","2"
"1.5","2","1"
"1.6","2","1"
"10萬","2","1"
"1679年","2","1"
"1683年","2","1"
"18年","2","1"
"1912","2","2"
"1913年","2","1"
"192","2","1"
"1928年","2","1"
"1938","2","1"
"1945","2","1"
"1949","2","1"
"1954年","2","1"
"1956年","2","1"
"1958年版","2","1"
"1959年版","2","1"
"1960","2","1"
"1960年版","2","1"
"1961年版","2","1"
"1963","2","1"
"1964年","2","1"
"1969年","2","1"
"1970年版","2","1"
"1972年","2","1"
"1975年版","2","1"
"1976","2","1"
"1978年版","2","1"
"1979年","2","1"
"1980","2","1"
"1982年版","2","1"
"1983","2","1"
"1983年","2","1"
"1983年版","2","1"
"1984年度","2","1"
"1988年度","2","1"
"1988：30","2","1"
"1990年版","2","1"
"19916","2","1"
"1995.","2","1"
"1;","2","1"
"1一2","2","1"
"1門日報","2","1"
"2)","2","2"
"2.","2","2"
"2.12","2","1"
"2.5","2","1"
"204","2","1"
"20年","2","1"
"210","2","1"
"216","2","1"
"217","2","1"
"218","2","1"
"219","2","1"
"220","2","1"
"221","2","1"
"222","2","1"
"223","2","1"
"224","2","1"
"225","2","1"
"226","2","1"
"227","2","1"
"228","2","1"
"22年","2","1"
"22日","2","1"
"233","2","2"
"24日","2","1"
"250萬","2","1"
"3.","2","1"
"3.4","2","1"
"300萬","2","1"
"30日","2","1"
"3:","2","2"
"4月","2","2"
"50年代","2","1"
"5日","2","1"
"6.1","2","1"
"6.4","2","1"
"7.3","2","1"
"70年代","2","1"
"7月份","2","1"
"81年","2","1"
"83年","2","1"
"8月","2","2"
":[","2","1"
"<<","2","1"
">>","2","1"
"Castells","2","1"
"Change","2","1"
"Community","2","2"
"Dean","2","1"
"EAST","2","1"
"F1","2","1"
"Foucault","2","1"
"H軍","2","1"
"I1","2","2"
"IF","2","1"
"IL","2","1"
"Ideology","2","1"
"Ii[","2","1"
"KMN","2","1"
"KTV","2","1"
"M","2","1"
"MM","2","1"
"MTV","2","1"
"Micheal","2","1"
"OBE","2","1"
"Oli","2","1"
"P.S.M","2","1"
"Peasant","2","1"
"Power","2","1"
"R","2","2"
"RA","2","1"
"RIAU","2","1"
"Skinner","2","1"
"Social","2","1"
"Street","2","1"
"Theory","2","1"
"X","2","2"
"Zero-Sum","2","1"
"_＿＿","2","1"
"cultural","2","1"
"g","2","2"
"iIF","2","1"
"image","2","1"
"k","2","1"
"lF","2","1"
"lion","2","1"
"off","2","1"
"o®","2","1"
"put","2","1"
"roofs","2","1"
"to","2","1"
"v","2","2"
"ward","2","1"
"®以","2","1"
"®金","2","1"
"°","2","2"
"·同","2","2"
"·安平","2","1"
"·官人","2","1"
"·居","2","1"
"·廈門","2","1"
"·成","2","1"
"·描","2","1"
"·新加坡","2","1"
"·明","2","1"
"·林廷福","2","1"
"·歷代","2","2"
"·派","2","1"
"·浯江","2","1"
"·瓊林","2","2"
"·由","2","2"
"·福建省","2","1"
"·緬甸","2","1"
"·脈","2","1"
"·起","2","1"
"·遠","2","1"
"·金門縣","2","1"
"·騰雲殿","2","1"
"⑴","2","1"
"⑵","2","1"
"─","2","2"
"───","2","1"
"──－","2","1"
"□","2","1"
"。後","2","2"
"一0三","2","2"
"一一九Ｏ年","2","1"
"一七O九年","2","2"
"一七八O年","2","2"
"一三O","2","2"
"一九O四年","2","2"
"一九七O年代","2","1"
"一九三0年代","2","1"
"一九三O年","2","1"
"一九九○年","2","2"
"一九六O年","2","1"
"一五0","2","2"
"一八O","2","2"
"一八六0年","2","1"
"一八四O年","2","1"
"一六二0年","2","1"
"一六六0年","2","2"
"一－","2","2"
"一－O","2","1"
"一－－","2","2"
"七O年代","2","1"
"中丞·","2","1"
"中，","2","2"
"九○年代","2","1"
"二)","2","1"
"二0","2","1"
"二0七","2","2"
"二五0億","2","1"
"云。","2","2"
"五O","2","1"
"五O年","2","1"
"元，","2","2"
"八O三年","2","2"
"八○年代","2","2"
"十五，","2","2"
"卡拉OK","2","1"
"四O","2","2"
"孫，","2","2"
"寒。","2","1"
"廈門志，","2","1"
"廟·","2","1"
"播·","2","1"
"日儒林。","2","2"
"機構·","2","1"
"汛，率","2","1"
"焉·","2","1"
"煞。村","2","1"
"甚，","2","1"
"盛·","2","1"
"目，","2","2"
"第，","2","2"
"羅，","2","1"
"行·","2","1"
"貢獻·","2","2"
"金城□□","2","1"
"金門志·","2","1"
"（二","2","1"
"，世","2","2"
"，人","2","2"
"，元","2","1"
"，内","2","2"
"，址","2","2"
"，委","2","1"
"，官","2","2"
"，届","2","2"
"，島人","2","2"
"，帝","2","1"
"，方","2","2"
"，明","2","1"
"，樓","2","2"
"，生","2","2"
"，置","2","2"
"，迨","2","1"
"－0","2","2"
"－1","2","1"
"－12","2","1"
"－13","2","1"
"－14","2","1"
"－16","2","1"
"－21","2","1"
"－22","2","1"
"－4","2","1"
"－5","2","1"
"－7","2","1"
"－8","2","1"
"－o","2","2"
"：一","2","1"
"＝","2","2"
"？没","2","2"
"＼O","2","1"
"!.F1","1","1"
"!l","1","1"
"!t","1","1"
"'1","1","1"
"'<","1","1"
"'I","1","1"
"'LO","1","1"
"'LO六","1","1"
"'LO～","1","1"
"'ft","1","1"
"'h'","1","1"
"'i""f","1","1"
"'i'","1","1"
"'ir","1","1"
"'十二","1","1"
"(11)","1","1"
"(12)","1","1"
"(1568)","1","1"
"(2","1","1"
"(20)","1","1"
"(84)","1","1"
"(一九九一)","1","1"
"(一九九六)","1","1"
"(一九八六)","1","1"
"(九)","1","1"
"(十九)","1","1"
"(四十)","1","1"
"--","1","1"
"--------","1","1"
"---------","1","1"
"-0","1","1"
"-0%","1","1"
"-26","1","1"
"-4","1","1"
"-9","1","1"
"-Pt","1","1"
"-le","1","1"
"-t","1","1"
"-t-","1","1"
"-＿","1","1"
"-～","1","1"
"..0","1","1"
"..1","1","1"
".10","1","1"
".11.20","1","1"
".16","1","1"
".2","1","1"
".2.10","1","1"
".20","1","1"
".3","1","1"
".5.2","1","1"
".9","1","1"
".Kulp","1","1"
".\","1","1"
"/12","1","1"
"/13","1","1"
"/14","1","1"
"/15","1","1"
"/16","1","1"
"/17","1","1"
"/18","1","1"
"/23","1","1"
"/25","1","1"
"/26","1","1"
