clover,n.,5
clown,n./v.,2
club,n./v.,2
clue,n.,3
clumsy,adj.,4
cluster,n./v.,5
clutch,v./n.,5
coach,n./v.,2
coal,n.,2
coarse,adj.,4
coast,n.,1
coastline,n.,5
coat,n./v.,1
cock,n.,2
cockroach,n.,2
roach,n.,2
cocktail,n.,3
cocoa,n.,1
coconut,n.,3
cocoon,n./v.,5
code,n./v.,4
coffee,n.,1
coffin,n.,6
coherent,adj.,6
coil,n./v.,5
coin,n./v.,2
coincide,v.,6
coincidence,n.,6
cola,n.,1
Coke,n.,1
cold,adj./n.,1
collapse,v./n.,4
collar,n.,3
colleague,n.,5
collect,v.,2
collection,n.,3
collective,adj./n.,6
collector,n.,6
college,n.,3
collide,v.,6
collision,n.,6
colloquial,adj.,6
colonel,n.,5
colonial,adj./n.,5
colony,n.,3
color,n./v.,1
colorful,adj.,2
column,n.,3
columnist,n.,6
comb,n./v.,2
combat,n./v.,5
combination,n.,4
combine,v.,3
come,v.,1
comedian,n.,5
comedy,n.,4
comet,n.,5
comfort,n./v.,3
comfortable,adj.,2
comic,adj.,4
comic,n.,4
comics,n.,4
comma,n.,3
command,v./n.,3
commander,n.,4
commemorate,v.,6
commence,v.,6
comment,n./v.,4
commentary,n.,6
commentator,n.,5
commerce,n.,4
commercial,adj./n.,3
commission,n./v.,5
commit,v.,4
commitment,n.,6
committee,n.,3
commodity,n.,5
common,adj./n.,1
commonplace,adj./n.,5
communicate,v.,3
communication,n.,4
communicative,adj.,6
communism,n.,5
communist,n./adj.,5
community,n.,4
commute,v.,5
commuter,n.,5
compact,adj./v./n.,5
companion,n.,4
companionship,n.,6
company,n.,2
comparable,adj.,6
comparative,adj.,6
compare,v.,2
comparison,n.,3
compass,n./v.,5
compassion,n.,5
compassionate,adj.,5
compatible,adj.,6
compel,v.,5
compensate,v.,6
compensation,n.,6
compete,v.,3
competence,n.,6
competent,adj.,6
competition,n.,4
competitive,adj.,4
competitor,n.,4
compile,v.,6
complain,v.,2
complaint,n.,3
complement,n./v.,6
complete,adj./v.,2
complex,adj./n.,3
complexion,n.,6
complexity,n.,6
complicate,v.,4
complication,n.,6
compliment,n./v.,5
component,n./adj.,6
compose,v.,4
composer,n.,4
composition,n.,4
compound,n./adj./v.,5
comprehend,v.,5
comprehension,n.,5
comprehensive,adj.,6
comprise,v.,6
compromise,n./v.,5
compute,v.,5
computer,n.,2
computerize,v.,5
comrade,n.,5
conceal,v.,5
concede,v.,6
conceit,n.,6
conceive,v.,5
concentrate,v.,4
concentration,n.,4
concept,n.,4
conception,n.,6
concern,v./n.,3
concerning,prep.,4
concert,n.,3
concession,n.,6
concise,adj.,6
conclude,v.,3
conclusion,n.,3
concrete,adj./n./v.,4
condemn,v.,5
condense,v.,6
condition,n./v.,3
conduct,n./v.,5
conductor,n.,4
cone,n.,3
confer,v.,6
